Feature,Full,Full_composite,Hiking,Pre-ZLB,ZLB
d_finbert_MP_mean:lag3,-0.2075,-0.3367,-0.2487,-0.2325,-0.3417
d_roberta_IS_EP_mean:lag10,0.1602,0.3139,-0.0983,0.3183,0.3515
d_finbert_IS_max:lag8,0.1416,-0.2988,-0.0425,0.2004,-0.4943
d_roberta_mean:lag3,-0.2138,-0.2848,-0.0803,-0.3395,-0.2561
d_finbert_QA_MP_mean:lag3,-0.1988,-0.284,-0.1061,-0.3553,-0.2223
d_finbert_min:lag8,0.1802,0.2837,-0.0794,0.2624,0.2956
d_finbert_EP_std:lag7,0.1716,0.282,-0.0365,0.333,0.2771
d_roberta_MP_mean:lag3,-0.206,-0.2782,0.0111,-0.3112,-0.2675
d_roberta_max:lag8,-0.0147,-0.2694,-0.0458,0.0792,-0.4039
d_roberta_IS_max:lag8,-0.1414,-0.2686,-0.2001,-0.1115,-0.3278
d_finbert_IS_std:lag7,0.0409,0.2662,-0.2171,0.1905,0.2958
d_roberta_EP_max:lag8,-0.0968,-0.2645,-0.1364,-0.0728,-0.2952
d_roberta_MP_std:lag8,-0.0225,-0.2635,-0.0616,-0.0469,-0.3243
d_finbert_QA_EP_mean:lag6,0.2759,0.2581,0.0915,0.4486,0.2108
d_roberta_MP_max:lag8,-0.035,-0.2527,0.0254,-0.0758,-0.3693
d_roberta_EP_mean:lag10,0.1937,0.2521,-0.0919,0.3651,0.2381
d_finbert_EP_min:lag7,-0.0727,-0.2506,-0.2169,-0.1192,-0.3019
d_roberta_IS_MP_max:lag8,-0.1792,-0.248,-0.0461,-0.2085,-0.2788
d_finbert_mean:lag4,0.1259,0.2456,-0.0089,0.3083,0.2614
d_finbert_QA_min:lag11,0.1415,0.2452,0.0745,0.2085,0.2414
d_roberta_std:lag3,-0.1008,-0.233,0.0592,-0.2041,-0.2398
d_finbert_QA_mean:lag6,0.1406,0.2312,0.0457,0.1791,0.2146
d_finbert_QA_EP_min:lag6,0.2952,0.2241,0.1751,0.4355,0.1404
d_roberta_IS_MP_std:lag8,-0.2056,-0.2215,-0.0729,-0.2914,-0.217
d_finbert_std:lag8,-0.0923,-0.2196,0.0536,-0.2068,-0.248
