word_limit,label_time,store_time,model
350,949.8637425899506,0.07968664169311523,facebook
300,909.5305125713348,0.033303022384643555,facebook
250,854.9110887050629,0.033303260803222656,facebook
200,788.481303691864,0.09984421730041504,facebook
150,696.0914857387543,0.10340690612792969,facebook
100,635.8282170295715,0.08135867118835449,facebook
50,748.054270029068,0.13078713417053223,facebook
350,1348.09774684906,0.17947745323181152,moritz
200,1192.3435592651367,0.21634912490844727,moritz
50,1130.7917311191559,0.21214509010314941,moritz
1,1642.7990758419037,0.3200862407684326,moritz
